%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	152	0x0400000000004000	1737489585.620512410	1737489590.992221887	5.371709477	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	58642	95.101.93.110	fr	"Akamai Technologies"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_10	DellInc,US_-	443	https	10	8	1381	581	0	1277	138.1	318.8916	0	5.183207	0.537171	1.435162	1.861605	257.0876	0.1111111	0.4077472	0x0a13	0	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1966520750	7	1381	0	7	557	0	1277	64240	31432.62	0	64256	2	1	3	0	0x011f	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	1513675796	0	0.004	6054703.471583	1731434882.1565537376	0.03505728	1.3504e-05	0.03614682	0.03060693	0.01082679	0.03508755	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	63	1	4	150	2.380952	37.5	4026	266017
B	152	0x0400000000004001	1737489585.655569675	1737489590.992199873	5.336630198	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		95.101.93.110	fr	"Akamai Technologies"	443	10.49.10.60	04	"Private network"	58642	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_8	-_DellInc,US	443	https	8	10	581	1381	0	287	72.625	103.1777	0	5.263917	0.6670788	1.587577	1.499073	108.8702	-0.1111111	-0.4077472	0x0211	1	2841	52	52	0	0x04	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1083256296	8	581	0	8	1381	0	287	64240	64137.22	64128	64240	1	0	0	0	0x031b	0x0000	1	6	0x0000001e	1460	128	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	3.0272e-05	1.3504e-05	5.229465	1.050684	1.945113	1.081291	1.945144	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	63	3	149	149	49.66667	16	1788
A	259	0x0400000000004000	1737489590.138729113	1737489591.020012270	0.881283157	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	42676	108.139.134.104	us	"Amazoncom"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_1014	DellInc,US_-	443	https	1014	2114	2021	3065493	0	1256	1.993097	41.649	0	0.2471539	0.000869116	0.007298618	1150.595	2293.247	-0.3516624	-0.9986823	0x4a33	0	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1605832101	881	2021	0	881	2793967	462	1320	64240	6.053717e-15	0	1734400	84	331	85	0	0x011f	0x0008	871	2615	0x0000013e	1460	128	0x0000	0x00	0	0x00	269165821	0	0.004	1076663.335139	1736412927.955021528	0.01222523	3.328e-06	0.2471377	0.0005078228	0.005066902	0.01226378	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	63	1	6	149	2.365079	24.83333	4040	266676
B	259	0x0400000000004001	1737489590.150954352	1737489591.020010323	0.869055971	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		108.139.134.104	us	"Amazoncom"	443	10.49.10.60	04	"Private network"	42676	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_2114	-_DellInc,US	443	https	2114	1014	3065493	2021	0	4320	1450.091	160.4267	0	0.2471457	0.0004110953	0.005003562	2432.524	3527383	0.3516624	0.9986823	0x0a11	1	55400	246	246	0	0x04	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4421733	1662	15301647	66	2114	2022	0	187200	65535	70143.99	65535	70144	0	2	1	0	0x031b	0x0244	1	6	0x0000001e	1440	512	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	3.8544e-05	1.558e-06	0.003575456	0.000257322	0.0003340643	0.0007651449	0.005077903	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	63	5	148	148	29.6	2519	3636463
A	299	0x0400000000004000	1737489591.142240234	1737489591.410415806	0.268175572	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	51268	142.251.128.234	us	"Google LLC"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_14	DellInc,US_-	443	https	14	14	1985	1442	0	1245	141.7857	287.1664	0	0.1076097	0.0191554	0.02919331	52.20461	7401.867	0	0.1584476	0x0a13	279	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1597381010	12	1985	0	12	1442	0	1807	64240	44894.61	0	64256	2	1	3	0	0x041e	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	3874428669	0	0.004	15497715.412102	1721991876.094212232	0.04776237	7.68e-06	0.1075832	0.04012939	0.02711686	0.04779291	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	64	1	2	150	2.34375	75	4151	282993
B	299	0x0400000000004001	1737489591.190002611	1737489591.410394945	0.220392334	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		142.251.128.234	us	"Google LLC"	443	10.49.10.60	04	"Private network"	51268	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_14	-_DellInc,US	443	https	14	14	1442	1985	0	768	103	184.3609	0	0.05887819	0.01574231	0.01999249	63.52308	6542.877	0	-0.1584476	0x0a11	1	34393	56	56	0	0x04	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	862258767	14	1442	0	14	1985	0	768	65535	266075.2	65535	268544	1	1	2	0	0x021a	0x0000	1	6	0x0000001e	1412	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	3.0544e-05	4.512e-06	0.00224424	0.0006226766	0.0007578449	0.04075206	0.02712745	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	64	1	149	149	149	14	1442
A	322	0x0400000000004000	1737489595.114850924	1737489595.399169448	0.284318524	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	38810	172.217.28.195	us	"Google LLC"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_11	DellInc,US_-	443	https	11	8	860	4777	0	663	78.18182	157.6556	0	0.1037488	0.02584714	0.0285345	38.689	3024.776	0.1578947	-0.6948732	0x0a13	0	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3366971241	8	860	0	8	4746	0	663	64240	31362.78	0	64256	3	2	4	0	0x011f	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	125214746	0	0.004	500859.007790	1736988736.3173985304	0.0525039	3.6576e-05	0.1037117	0.04519866	0.02679173	0.05253403	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	68	1	10	169	2.485294	16.9	4624	353901
B	322	0x0400000000004001	1737489595.167354837	1737489595.399148794	0.231793957	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		172.217.28.195	us	"Google LLC"	443	10.49.10.60	04	"Private network"	38810	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_8	-_DellInc,US	443	https	8	11	4777	860	0	2824	597.125	799.6282	0	0.07281671	0.02897425	0.0246844	34.51341	20608.82	-0.1578947	0.6948732	0x0a11	1	36316	56	56	0	0x04	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	855773098	8	4777	0	8	861	0	2824	65535	252295.2	65535	269056	0	1	1	0	0x031b	0x0000	1	6	0x0000001e	1412	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	3.0128e-05	2.064e-05	0.02350349	0.004250597	0.007691951	0.04944926	0.02787405	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	68	9	168	168	18.66667	107	114065
A	324	0x0400000000004000	1737489595.119603245	1737489595.680934430	0.561331185	1	3	eth:ipv4:tcp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	38826	172.217.28.195	us	"Google LLC"	443	6	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_12	DellInc,US_-	443	https	12	9	860	4779	0	663	71.66666	152.3549	0	0.3013003	0.0467776	0.07421565	21.37775	1532.072	0.1428571	-0.6949814	0x0a13	0	1	64	64	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1306970859	8	860	0	8	4748	0	663	64240	21991.9	0	64256	2	2	3	0	0x011f	0x0000	1	5	0x0000011e	1460	128	0x0000	0x00	0	0x00	125214751	0	0.004	500859.027790	1736988736.3611339008	0.0477519	2.3488e-05	0.3012486	0.07117537	0.07614519	0.04779027	0	0x52	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	68	1	8	167	2.455882	20.875	4638	354214
B	324	0x0400000000004001	1737489595.167355154	1737489595.680902063	0.513546909	1	3	eth:ipv4:tcp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		172.217.28.195	us	"Google LLC"	443	10.49.10.60	04	"Private network"	38826	6	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_9	-_DellInc,US	443	https	9	12	4779	860	0	2824	531	774.5594	0	0.3012821	0.05706077	0.07879923	17.52518	9305.869	-0.1428571	0.6949814	0x0a11	65535	48436	56	56	0	0x04	0x0844	0	0x00_0x00000000	0_0	0x00000000_0x00000000	580830020	7	4780	0	9	861	0	2824	65535	257323.4	65535	269056	0	1	1	0	0x031b	0x0200	1	6	0x0000001e	1412	256	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	3.8368e-05	2.3808e-05	0.01394995	0.002511104	0.004548806	0.07368648	0.07628094	0x12	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	68	7	166	166	23.71428	120	126580
