%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	169	0x0800000000008000	1737489585.889264949	1737489585.889264949	0.000000000	1	3	eth:ipv6:udp	d0:94:66:ca:f6:92	33:33:00:00:00:fb	0x86dd		fe80::d294:66ff:feca:f692	02	"Link-local"	5353	ff02::fb	10	"mDNSv6"	5353	17	0x00	1	d0:94:66:ca:f6:92_33:33:00:00:00:fb_1	DellInc,US_IPv6Multi	5353	mdns	1	0	45	0	45	45	45	0	0	0	0	0	0	0	1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	11	1	1	1	1	2	45
A	170	0x0400000000004000	1737489585.889362180	1737489585.889362180	0.000000000	1	3	eth:ipv4:udp	d0:94:66:ca:f6:92	01:00:5e:00:00:fb	0x0800		10.49.10.52	04	"Private network"	5353	224.0.0.251	10	"mDNS"	5353	17	0x00	1	d0:94:66:ca:f6:92_01:00:5e:00:00:fb_1	DellInc,US_IPv4Multi	5353	mdns	1	0	45	0	45	45	45	0	0	0	0	0	0	0	1	1	0x0001	65535	0	255	255	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	2	13	1	1	0.5	1	2	53
A	60	0x0800000000008001	1737489581.977109845	1737489585.977664768	4.000554923	1	3	eth:ipv6:icmpv6	48:4d:7e:fc:be:fe	33:33:00:00:00:02	0x86dd		fe80::4bc5:b6f1:5302:8e64	02	"Link-local"	0	ff02::2	10	"Routers Address"	0	58	0x00	1	48:4d:7e:fc:be:fe_33:33:00:00:00:02_2	DellInc,US_IPv6Multi	0	unknown	2	0	16	0	8	8	8	0	0	4.000555	2.000278	1.41441	0.4999306	3.999445	-1	1	0x0001	65535	0	255	255	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0	0	0x00	0x01	2	0x00000020_0x00000000_0x0001	0x00000000	0	0	2	6	1	6	3	6	0	4198402
A	172	0x0400000000004000	1737489586.025423842	1737489586.025435980	0.000012138	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	53284	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_2	DellInc,US_-	53	domain	2	2	76	120	38	38	38	0	0	1.2138e-05	6.069e-06	4.291431e-06	164771.8	6261328	0	-0.2244898	0x0001	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.000611	0.1050314	0.05282121	0.03691819	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	570	570	6	1	16183	1915274
B	172	0x0400000000004001	1737489586.026046980	1737489586.130467406	0.104420426	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	53284	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_2	-_DellInc,US	53	domain	2	2	120	76	54	66	60	4.24264	0	0.1044204	0.05221021	0.03691819	19.15334	1149.2	0	0.2244898	0x0001	6	6	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.05282121	0.03691819	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	569	569	569	1	665	77428
A	173	0x0400000000004000	1737489586.036083848	1737489586.036091344	0.000007496	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	58203	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_2	DellInc,US_-	53	domain	2	2	90	134	45	45	45	0	0	7.496e-06	3.748e-06	2.650236e-06	266809	1.20064e+07	0	-0.1964286	0x0001	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.1077492	0.1125783	0.1101638	0.001707337	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	568	568	5.978947	1	16183	1915274
B	173	0x0400000000004001	1737489586.143840573	1737489586.148669644	0.004829071	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	58203	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_2	-_DellInc,US	53	domain	2	2	134	90	61	73	67	4.24264	0	0.004829071	0.002414535	0.001707334	414.1583	27748.61	0	0.1964286	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.1101638	0.001707337	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	567	567	567	1	665	77428
A	174	0x0400000000004000	1737489586.036447391	1737489586.036447391	0.000000000	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	40608	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_1	DellInc,US_-	53	domain	1	1	45	61	45	45	45	0	0	0	0	0	0	0	0	-0.1509434	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.1072927	0.1072927	0.1072927	0.1072927	0	0.1072927	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	566	566	5.957895	1	16183	1915274
B	174	0x0400000000004001	1737489586.143740053	1737489586.143740053	0.000000000	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	40608	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_1	-_DellInc,US	53	domain	1	1	61	45	61	61	61	0	0	0	0	0	0	0	0	0.1509434	0x0001	65535	0	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.1072927	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	565	565	565	1	665	77428
A	176	0x0400000000004000	1737489586.046604589	1737489586.046605573	0.000000984	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	55587	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_2	DellInc,US_-	53	domain	2	2	70	114	35	35	35	0	0	9.840001e-07	4.92e-07	3.478966e-07	2032520	7.113821e+07	0	-0.2391304	0x0001	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.000688668	0.000739724	0.000714196	1.805103e-05	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	564	564	5.936842	1	16183	1915274
B	176	0x0400000000004001	1737489586.047294238	1737489586.047345294	0.000051056	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	55587	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_2	-_DellInc,US	53	domain	2	2	114	70	51	63	57	4.24264	0	5.1056e-05	2.5528e-05	1.805102e-05	39172.68	2232842	0	0.2391304	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000714196	1.805103e-05	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	563	563	563	1	665	77428
A	175	0x0400000000004000	1737489586.046597609	1737489586.047372144	0.000774535	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	58781	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_2	DellInc,US_-	53	domain	2	2	66	110	33	33	33	0	0	0.000774535	0.0003872675	0.0002738395	2582.195	85212.41	0	-0.25	0x0001	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000747744	0.000467152	0.000747744	0.000607448	9.920426e-05	0.000774536	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	562	562	5.91579	1	16183	1915274
B	175	0x0400000000004001	1737489586.047345351	1737489586.047839295	0.000493944	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	58781	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_2	-_DellInc,US	53	domain	2	2	110	66	49	61	55	4.24264	0	0.000493944	0.000246972	0.0001746356	4049.042	222697.3	0	0.25	0x0001	3	3	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	2.6792e-05	2.6792e-05	2.6792e-05	2.6792e-05	0	0.00063424	9.920426e-05	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	561	561	561	1	665	77428
A	177	0x0400000000004000	1737489586.081794474	1737489586.081794474	0.000000000	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	34605	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_1	DellInc,US_-	53	domain	1	1	38	54	38	38	38	0	0	0	0	0	0	0	0	-0.173913	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.000594424	0.000594424	0.000594424	0.000594424	0	0.000594424	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	560	560	5.894737	1	16183	1915274
B	177	0x0400000000004001	1737489586.082388898	1737489586.082388898	0.000000000	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	34605	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_1	-_DellInc,US	53	domain	1	1	54	38	54	54	54	0	0	0	0	0	0	0	0	0.173913	0x0001	65535	0	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000594424	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	559	559	559	1	665	77428
A	182	0x0400000000004000	1737489586.158527567	1737489586.158538341	0.000010774	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	51227	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_2	DellInc,US_-	53	domain	2	2	100	362	50	50	50	0	0	1.0774e-05	5.387e-06	3.809184e-06	185632.1	9281604	0	-0.5670996	0x0001	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.0542175	0.05717354	0.05569552	0.001045115	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	558	558	5.873684	1	16183	1915274
B	182	0x0400000000004001	1737489586.212755833	1737489586.215711880	0.002956047	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	51227	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_2	-_DellInc,US	53	domain	2	2	362	100	169	193	181	8.485281	0	0.002956047	0.001478023	0.00104512	676.5792	122460.8	0	0.5670996	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.05569552	0.001045115	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	557	557	557	1	665	77428
A	183	0x0400000000004000	1737489586.159183525	1737489586.159183525	0.000000000	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	58353	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_1	DellInc,US_-	53	domain	1	1	50	169	50	50	50	0	0	0	0	0	0	0	0	-0.543379	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.05360528	0.05360528	0.05360528	0.05360528	0	0.05360528	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	556	556	5.852632	1	16183	1915274
B	183	0x0400000000004001	1737489586.212788805	1737489586.212788805	0.000000000	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	58353	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_1	-_DellInc,US	53	domain	1	1	169	50	169	169	169	0	0	0	0	0	0	0	0	0.543379	0x0001	65535	0	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.05360528	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	555	555	555	1	665	77428
A	186	0x0400000000004000	1737489586.367420004	1737489586.367430573	0.000010569	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	51608	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_2	DellInc,US_-	53	domain	2	2	56	271	28	28	28	0	0	1.0569e-05	5.2845e-06	3.736706e-06	189232.7	5298514	0	-0.6574923	0x0001	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.000723168	0.000827424	0.000775296	3.686005e-05	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	554	554	5.831579	1	16183	1915274
B	186	0x0400000000004001	1737489586.368153743	1737489586.368257996	0.000104253	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	51608	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_2	-_DellInc,US	53	domain	2	2	271	56	113	158	135.5	15.9099	0	0.000104253	5.21265e-05	3.6859e-05	19184.1	2599446	0	0.6574923	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000775296	3.686005e-05	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	553	553	553	1	665	77428
A	188	0x0400000000004000	1737489586.866433619	1737489586.866444872	0.000011253	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	41496	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_2	DellInc,US_-	53	domain	2	2	70	348	35	35	35	0	0	1.1253e-05	5.6265e-06	3.978536e-06	177730.4	6220564	0	-0.6650718	0x0001	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.000669376	0.000816	0.000742688	5.183943e-05	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	552	552	5.810526	1	16183	1915274
B	188	0x0400000000004001	1737489586.867114240	1737489586.867260869	0.000146629	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	41496	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_2	-_DellInc,US	53	domain	2	2	348	70	150	198	174	16.97056	0	0.000146629	7.33145e-05	5.184118e-05	13639.87	2373337	0	0.6650718	0x0001	1	1	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.000742688	5.183943e-05	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	551	551	551	1	665	77428
A	189	0x0400000000004000	1737489586.866632820	1737489586.866632820	0.000000000	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	36335	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_1	DellInc,US_-	53	domain	1	1	35	150	35	35	35	0	0	0	0	0	0	0	0	-0.6216216	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.00079264	0.00079264	0.00079264	0.00079264	0	0.00079264	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	550	550	5.789474	1	16183	1915274
B	189	0x0400000000004001	1737489586.867425474	1737489586.867425474	0.000000000	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	36335	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_1	-_DellInc,US	53	domain	1	1	150	35	150	150	150	0	0	0	0	0	0	0	0	0.6216216	0x0001	65535	0	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.00079264	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	549	549	549	1	665	77428
A	193	0x0400000000004000	1737489587.284267830	1737489587.284282002	0.000014172	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	40238	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_2	DellInc,US_-	53	domain	2	2	72	179	36	36	36	0	0	1.4172e-05	7.086e-06	5.010559e-06	141123.3	5080440	0	-0.4262948	0x0001	1	1	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	0.000858176	0.05858105	0.02971962	0.02040812	0	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	548	548	5.768421	1	16183	1915274
B	193	0x0400000000004001	1737489587.285140198	1737489587.342863074	0.057722876	1	3	eth:ipv4:udp	64:7c:e8:c9:02:17	d0:94:66:cc:4d:20	0x0800		10.54.0.155	04	"Private network"	53	10.49.10.60	04	"Private network"	40238	17	0x00	1	64:7c:e8:c9:02:17_d0:94:66:cc:4d:20_2	-_DellInc,US	53	domain	2	2	179	72	84	95	89.5	3.889087	0	0.05772288	0.02886144	0.02040812	34.64831	3101.023	0	0.4262948	0x0001	5	5	127	127	0	0x00	0x0000	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0	65535	0	0	0	0.02971962	0.02040812	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	95	547	547	547	1	665	77428
A	194	0x0400000000004000	1737489587.284759083	1737489587.284759083	0.000000000	1	3	eth:ipv4:udp	d0:94:66:cc:4d:20	64:7c:e8:c9:02:17	0x0800		10.49.10.60	04	"Private network"	44081	10.54.0.155	04	"Private network"	53	17	0x00	1	d0:94:66:cc:4d:20_64:7c:e8:c9:02:17_1	DellInc,US_-	53	domain	1	1	36	84	36	36	36	0	0	0	0	0	0	0	0	-0.4	0x0001	65535	0	64	64	0	0x00	0x0840	0	0x00_0x00000000	0_0	0x00000000_0x00000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0x0000	0x0000	0	0	0x00000000	0	1	0x0000	0x00	0	0x00	0	0	0	0.000000	0.000000000	0.05727248	0.05727248	0.05727248	0.05727248	0	0.05727248	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	95	1	546	546	5.747368	1	16183	1915274
